Received by learning locker;;;;;;;;Send by external device;;;;;;;;;
Date;Hour;Min;Sec.Miliseconds(Formated);Seconds;Miliseconds;;;Hour:Min:sec:ms;Hours;Min;Sec;Miliseconds;;;;;Miliseconds difference
10/12/2021;13;6;21.498Z;21;498;;;14:6:21:353;14;6;21;353;;;;;145
10/12/2021;13;6;21.381Z;21;381;;;14:6:21:233;14;6;21;233;;;;;148
10/12/2021;13;6;21.262Z;21;262;;;14:6:21:111;14;6;21;111;;;;;151
10/12/2021;13;6;21.141Z;21;141;;;14:6:21:2;14;6;21;2;;;;;139
10/12/2021;13;6;21.031Z;21;31;;;14:6:20:885;14;6;20;885;;;;;146
10/12/2021;13;6;20.914Z;20;914;;;14:6:20:769;14;6;20;769;;;;;145
10/12/2021;13;6;20.797Z;20;797;;;14:6:20:652;14;6;20;652;;;;;145
10/12/2021;13;6;20.680Z;20;680;;;14:6:20:534;14;6;20;534;;;;;146
10/12/2021;13;6;20.563Z;20;563;;;14:6:20:418;14;6;20;418;;;;;145
10/12/2021;13;6;20.446Z;20;446;;;14:6:20:301;14;6;20;301;;;;;145
10/12/2021;13;6;20.330Z;20;330;;;14:6:20:185;14;6;20;185;;;;;145
10/12/2021;13;6;20.213Z;20;213;;;14:6:20:68;14;6;20;68;;;;;145
10/12/2021;13;6;20.097Z;20;97;;;14:6:19:952;14;6;19;952;;;;;145
10/12/2021;13;6;19.981Z;19;981;;;14:6:19:835;14;6;19;835;;;;;146
10/12/2021;13;6;19.864Z;19;864;;;14:6:19:723;14;6;19;723;;;;;141
10/12/2021;13;6;19.751Z;19;751;;;14:6:19:605;14;6;19;605;;;;;146
10/12/2021;13;6;19.634Z;19;634;;;14:6:19:489;14;6;19;489;;;;;145
10/12/2021;13;6;19.517Z;19;517;;;14:6:19:371;14;6;19;371;;;;;146
10/12/2021;13;6;19.400Z;19;400;;;14:6:19:252;14;6;19;252;;;;;148
10/12/2021;13;6;19.280Z;19;280;;;14:6:19:136;14;6;19;136;;;;;144
10/12/2021;13;6;19.162Z;19;162;;;14:6:19:16;14;6;19;16;;;;;146
10/12/2021;13;6;19.045Z;19;45;;;14:6:18:891;14;6;18;891;;;;;154
10/12/2021;13;6;18.920Z;18;920;;;14:6:18:775;14;6;18;775;;;;;145
10/12/2021;13;6;18.803Z;18;803;;;14:6:18:659;14;6;18;659;;;;;144
10/12/2021;13;6;18.687Z;18;687;;;14:6:18:542;14;6;18;542;;;;;145
10/12/2021;13;6;18.569Z;18;569;;;14:6:18:424;14;6;18;424;;;;;145
10/12/2021;13;6;18.452Z;18;452;;;14:6:18:302;14;6;18;302;;;;;150
10/12/2021;13;6;18.325Z;18;325;;;14:6:18:180;14;6;18;180;;;;;145
10/12/2021;13;6;18.208Z;18;208;;;14:6:18:62;14;6;18;62;;;;;146
10/12/2021;13;6;18.070Z;18;70;;;14:6:17:929;14;6;17;929;;;;;141
10/12/2021;13;6;17.957Z;17;957;;;14:6:17:811;14;6;17;811;;;;;146
10/12/2021;13;6;17.840Z;17;840;;;14:6:17:695;14;6;17;695;;;;;145
10/12/2021;13;6;17.722Z;17;722;;;14:6:17:579;14;6;17;579;;;;;143
10/12/2021;13;6;17.608Z;17;608;;;14:6:17:469;14;6;17;469;;;;;139
10/12/2021;13;6;17.493Z;17;493;;;14:6:17:353;14;6;17;353;;;;;140
10/12/2021;13;6;17.382Z;17;382;;;14:6:17:239;14;6;17;239;;;;;143
10/12/2021;13;6;17.265Z;17;265;;;14:6:17:124;14;6;17;124;;;;;141
10/12/2021;13;6;17.155Z;17;155;;;14:6:17:9;14;6;17;9;;;;;146
10/12/2021;13;6;17.034Z;17;34;;;14:6:16:890;14;6;16;890;;;;;144
10/12/2021;13;6;16.917Z;16;917;;;14:6:16:772;14;6;16;772;;;;;145
10/12/2021;13;6;16.800Z;16;800;;;14:6:16:655;14;6;16;655;;;;;145
10/12/2021;13;6;16.681Z;16;681;;;14:6:16:540;14;6;16;540;;;;;141
10/12/2021;13;6;16.564Z;16;564;;;14:6:16:418;14;6;16;418;;;;;146
10/12/2021;13;6;16.445Z;16;445;;;14:6:16:302;14;6;16;302;;;;;143
10/12/2021;13;6;16.333Z;16;333;;;14:6:16:195;14;6;16;195;;;;;138
10/12/2021;13;6;16.225Z;16;225;;;14:6:16:83;14;6;16;83;;;;;142
10/12/2021;13;6;16.111Z;16;111;;;14:6:15:966;14;6;15;966;;;;;145
10/12/2021;13;6;15.992Z;15;992;;;14:6:15:840;14;6;15;840;;;;;152
10/12/2021;13;6;15.868Z;15;868;;;14:6:15:723;14;6;15;723;;;;;145
10/12/2021;13;6;15.746Z;15;746;;;14:6:15:511;14;6;15;511;;;;;235
10/12/2021;13;6;15.539Z;15;539;;;14:6:15:394;14;6;15;394;;;;;145
10/12/2021;13;6;15.423Z;15;423;;;14:6:15:278;14;6;15;278;;;;;145
10/12/2021;13;6;15.306Z;15;306;;;14:6:15:165;14;6;15;165;;;;;141
10/12/2021;13;6;15.194Z;15;194;;;14:6:15:54;14;6;15;54;;;;;140
10/12/2021;13;6;15.083Z;15;83;;;14:6:14:941;14;6;14;941;;;;;142
10/12/2021;13;6;14.968Z;14;968;;;14:6:14:830;14;6;14;830;;;;;138
10/12/2021;13;6;14.857Z;14;857;;;14:6:14:716;14;6;14;716;;;;;141
10/12/2021;13;6;14.745Z;14;745;;;14:6:14:601;14;6;14;601;;;;;144
10/12/2021;13;6;14.629Z;14;629;;;14:6:14:484;14;6;14;484;;;;;145
10/12/2021;13;6;14.512Z;14;512;;;14:6:14:373;14;6;14;373;;;;;139
10/12/2021;13;6;14.400Z;14;400;;;14:6:14:256;14;6;14;256;;;;;144
10/12/2021;13;6;14.284Z;14;284;;;14:6:14:143;14;6;14;143;;;;;141
10/12/2021;13;6;14.175Z;14;175;;;14:6:14:37;14;6;14;37;;;;;138
10/12/2021;13;6;14.069Z;14;69;;;14:6:13:929;14;6;13;929;;;;;140
10/12/2021;13;6;13.961Z;13;961;;;14:6:13:822;14;6;13;822;;;;;139
10/12/2021;13;6;13.847Z;13;847;;;14:6:13:699;14;6;13;699;;;;;148
10/12/2021;13;6;13.727Z;13;727;;;14:6:13:590;14;6;13;590;;;;;137
10/12/2021;13;6;13.620Z;13;620;;;14:6:13:477;14;6;13;477;;;;;143
10/12/2021;13;6;13.502Z;13;502;;;14:6:13:362;14;6;13;362;;;;;140
10/12/2021;13;6;13.394Z;13;394;;;14:6:13:249;14;6;13;249;;;;;145
10/12/2021;13;6;13.277Z;13;277;;;14:6:13:134;14;6;13;134;;;;;143
10/12/2021;13;6;13.162Z;13;162;;;14:6:13:17;14;6;13;17;;;;;145
10/12/2021;13;6;13.046Z;13;46;;;14:6:12:900;14;6;12;900;;;;;146
10/12/2021;13;6;12.928Z;12;928;;;14:6:12:784;14;6;12;784;;;;;144
10/12/2021;13;6;12.812Z;12;812;;;14:6:12:670;14;6;12;670;;;;;142
10/12/2021;13;6;12.698Z;12;698;;;14:6:12:554;14;6;12;554;;;;;144
10/12/2021;13;6;12.583Z;12;583;;;14:6:12:439;14;6;12;439;;;;;144
10/12/2021;13;6;12.467Z;12;467;;;14:6:12:322;14;6;12;322;;;;;145
10/12/2021;13;6;12.350Z;12;350;;;14:6:12:206;14;6;12;206;;;;;144
10/12/2021;13;6;12.234Z;12;234;;;14:6:12:89;14;6;12;89;;;;;145
10/12/2021;13;6;12.117Z;12;117;;;14:6:11:973;14;6;11;973;;;;;144
10/12/2021;13;6;12.000Z;12;0;;;14:6:11:856;14;6;11;856;;;;;144
10/12/2021;13;6;11.884Z;11;884;;;14:6:11:740;14;6;11;740;;;;;144
10/12/2021;13;6;11.769Z;11;769;;;14:6:11:624;14;6;11;624;;;;;145
10/12/2021;13;6;11.649Z;11;649;;;14:6:11:505;14;6;11;505;;;;;144
10/12/2021;13;6;11.532Z;11;532;;;14:6:11:386;14;6;11;386;;;;;146
10/12/2021;13;6;11.414Z;11;414;;;14:6:11:270;14;6;11;270;;;;;144
10/12/2021;13;6;11.298Z;11;298;;;14:6:11:153;14;6;11;153;;;;;145
10/12/2021;13;6;11.182Z;11;182;;;14:6:11:34;14;6;11;34;;;;;148
10/12/2021;13;6;11.061Z;11;61;;;14:6:10:921;14;6;10;921;;;;;140
10/12/2021;13;6;10.953Z;10;953;;;14:6:10:811;14;6;10;811;;;;;142
10/12/2021;13;6;10.842Z;10;842;;;14:6:10:698;14;6;10;698;;;;;144
10/12/2021;13;6;10.726Z;10;726;;;14:6:10:583;14;6;10;583;;;;;143
10/12/2021;13;6;10.616Z;10;616;;;14:6:10:470;14;6;10;470;;;;;146
10/12/2021;13;6;10.496Z;10;496;;;14:6:10:355;14;6;10;355;;;;;141
10/12/2021;13;6;10.382Z;10;382;;;14:6:10:230;14;6;10;230;;;;;152
10/12/2021;13;6;10.261Z;10;261;;;14:6:10:125;14;6;10;125;;;;;136
10/12/2021;13;6;10.157Z;10;157;;;14:6:10:10;14;6;10;10;;;;;147
10/12/2021;13;6;10.038Z;10;38;;;14:6:9:898;14;6;9;898;;;;;140
10/12/2021;13;6;09.930Z;9;930;;;14:6:9:697;14;6;9;697;;;;;233
10/12/2021;13;6;09.723Z;9;723;;;14:6:9:583;14;6;9;583;;;;;140
10/12/2021;13;6;09.612Z;9;612;;;14:6:9:466;14;6;9;466;;;;;146
10/12/2021;13;6;09.493Z;9;493;;;14:6:9:348;14;6;9;348;;;;;145
10/12/2021;13;6;09.377Z;9;377;;;14:6:9:232;14;6;9;232;;;;;145
10/12/2021;13;6;09.260Z;9;260;;;14:6:9:113;14;6;9;113;;;;;147
10/12/2021;13;6;09.140Z;9;140;;;14:6:8:995;14;6;8;995;;;;;145
10/12/2021;13;6;09.022Z;9;22;;;14:6:8:877;14;6;8;877;;;;;145
10/12/2021;13;6;08.906Z;8;906;;;14:6:8:761;14;6;8;761;;;;;145
10/12/2021;13;6;08.789Z;8;789;;;14:6:8:645;14;6;8;645;;;;;144
10/12/2021;13;6;08.673Z;8;673;;;14:6:8:528;14;6;8;528;;;;;145
10/12/2021;13;6;08.555Z;8;555;;;14:6:8:411;14;6;8;411;;;;;144
10/12/2021;13;6;08.437Z;8;437;;;14:6:8:292;14;6;8;292;;;;;145
10/12/2021;13;6;08.320Z;8;320;;;14:6:8:173;14;6;8;173;;;;;147
10/12/2021;13;6;08.201Z;8;201;;;14:6:8:56;14;6;8;56;;;;;145
10/12/2021;13;6;08.084Z;8;84;;;14:6:7:940;14;6;7;940;;;;;144
10/12/2021;13;6;07.968Z;7;968;;;14:6:7:823;14;6;7;823;;;;;145
10/12/2021;13;6;07.849Z;7;849;;;14:6:7:704;14;6;7;704;;;;;145
10/12/2021;13;6;07.733Z;7;733;;;14:6:7:588;14;6;7;588;;;;;145
10/12/2021;13;6;07.616Z;7;616;;;14:6:7:472;14;6;7;472;;;;;144
10/12/2021;13;6;07.499Z;7;499;;;14:6:7:354;14;6;7;354;;;;;145
10/12/2021;13;6;07.381Z;7;381;;;14:6:7:236;14;6;7;236;;;;;145
10/12/2021;13;6;07.265Z;7;265;;;14:6:7:121;14;6;7;121;;;;;144
10/12/2021;13;6;07.149Z;7;149;;;14:6:7:5;14;6;7;5;;;;;144
10/12/2021;13;6;07.033Z;7;33;;;14:6:6:889;14;6;6;889;;;;;144
10/12/2021;13;6;06.919Z;6;919;;;14:6:6:775;14;6;6;775;;;;;144
10/12/2021;13;6;06.804Z;6;804;;;14:6:6:652;14;6;6;652;;;;;152
10/12/2021;13;6;06.680Z;6;680;;;14:6:6:532;14;6;6;532;;;;;148
10/12/2021;13;6;06.560Z;6;560;;;14:6:6:415;14;6;6;415;;;;;145
10/12/2021;13;6;06.442Z;6;442;;;14:6:6:296;14;6;6;296;;;;;146
10/12/2021;13;6;06.325Z;6;325;;;14:6:6:180;14;6;6;180;;;;;145
10/12/2021;13;6;06.208Z;6;208;;;14:6:6:63;14;6;6;63;;;;;145
10/12/2021;13;6;06.092Z;6;92;;;14:6:5:946;14;6;5;946;;;;;146
10/12/2021;13;6;05.972Z;5;972;;;14:6:5:828;14;6;5;828;;;;;144
10/12/2021;13;6;05.856Z;5;856;;;14:6:5:712;14;6;5;712;;;;;144
10/12/2021;13;6;05.740Z;5;740;;;14:6:5:599;14;6;5;599;;;;;141
10/12/2021;13;6;05.626Z;5;626;;;14:6:5:481;14;6;5;481;;;;;145
